id,y
5000,0.5178697
5001,0.5178697
5002,0.5178697
5003,0.5178697
5004,0.5178697
5005,0.5178697
5006,0.5178697
5007,0.5178697
5008,0.5178697
5009,0.5178697
5010,0.5178697
5011,0.5178697
5012,0.5178697
5013,0.5178697
5014,0.5178697
5015,0.5178697
5016,0.5178697
5017,0.40217054
5018,0.5178697
5019,0.5178697
5020,0.5178697
5021,0.5178697
5022,0.5178697
5023,0.5178697
5024,0.5178697
5025,0.5178697
5026,0.9736772
5027,0.5178697
5028,0.5178697
5029,0.5178697
5030,0.5178697
5031,0.5178697
5032,0.5178697
5033,0.5178697
5034,0.5178697
5035,0.5178697
5036,0.5178697
5037,0.5178697
5038,0.5178697
5039,0.5178697
5040,0.5178697
5041,0.5178697
5042,0.5178697
5043,0.5178697
5044,0.5178697
5045,0.5178697
5046,0.5178697
5047,0.5178697
5048,0.5178697
5049,0.5178697
5050,0.5178697
5051,0.5178697
5052,0.5178697
5053,0.5178697
5054,0.5178697
5055,0.5178697
5056,0.5178697
5057,0.5178697
5058,0.5178697
5059,0.5178697
5060,0.5178697
5061,0.5178697
5062,0.5178697
5063,0.5178697
5064,0.5178697
5065,0.5178697
5066,0.5178697
5067,0.5178697
5068,0.5178697
5069,0.5178697
5070,0.5178697
5071,0.5178697
5072,0.5178697
5073,0.5178697
5074,0.5178697
5075,0.5178697
5076,0.5178697
5077,0.5178697
5078,0.5178697
5079,0.5178697
5080,0.5178697
5081,0.9821358
5082,0.5178697
5083,0.5178697
5084,0.5178697
5085,0.5178697
5086,0.6878549
5087,0.5178697
5088,0.5178697
5089,0.5178697
5090,0.5178697
5091,0.5178697
5092,0.5178697
5093,0.5178697
5094,0.5178697
5095,0.5178697
5096,0.5178697
5097,0.5178697
5098,0.5178697
5099,0.5178697
5100,0.5178697
5101,0.5178697
5102,0.5178697
5103,0.5178697
5104,0.5178697
5105,0.5178697
5106,0.5178697
5107,0.5178697
5108,0.5178697
5109,0.5178697
5110,0.5178697
5111,0.5178697
5112,0.5178697
5113,0.5178697
5114,0.5178697
5115,0.5178697
5116,0.5178697
5117,0.5178697
5118,0.5178697
5119,0.5178697
5120,0.5178697
5121,0.5178697
5122,0.5178697
5123,0.5178697
5124,0.5178697
5125,0.5178697
5126,0.5178697
5127,0.5178697
5128,0.5178697
5129,0.5178697
5130,0.5178697
5131,0.5178697
5132,0.5178697
5133,0.5178697
5134,0.5178697
5135,0.5178697
5136,0.5178697
5137,0.5178697
5138,0.5178697
5139,0.5178697
5140,0.5178697
5141,0.5178697
5142,0.5178697
5143,0.5178697
5144,0.5178697
5145,0.5178697
5146,0.5178697
5147,0.5178697
5148,0.5178697
5149,0.5178697
5150,0.5178697
5151,0.5178697
5152,0.5178697
5153,0.5178697
5154,0.5178697
5155,0.5178697
5156,0.5178697
5157,0.5178697
5158,0.5178697
5159,0.5178697
5160,0.5178697
5161,0.5178697
5162,0.5178697
5163,0.5178697
5164,0.5178697
