id,target
0,0.02794
1,0.04264
2,0.02938
3,0.02924
4,0.02262
5,0.02688
6,0.04513
8,0.02183
10,0.06172
11,0.03193
12,0.03284
14,0.02454
15,0.03778
18,0.03978
21,0.03761
23,0.04100
24,0.03874
25,0.04354
27,0.05354
29,0.04764
30,0.03871
31,0.03999
32,0.04444
33,0.03840
37,0.02863
38,0.03564
39,0.05837
40,0.03314
41,0.03838
42,0.03409
44,0.03138
45,0.04210
47,0.03622
49,0.02560
51,0.03463
52,0.03081
53,0.03690
54,0.08708
55,0.02443
56,0.04272
57,0.05821
59,0.04241
60,0.04163
62,0.02902
63,0.07861
67,0.04956
68,0.01948
69,0.06153
70,0.03187
71,0.04897
73,0.05209
75,0.03762
76,0.02721
81,0.02543
82,0.03413
83,0.02678
86,0.03462
87,0.04063
88,0.05209
91,0.04231
92,0.03571
94,0.02661
97,0.03007
100,0.03537
102,0.03502
103,0.03447
105,0.03377
106,0.03068
108,0.03274
113,0.06349
114,0.05413
115,0.04080
118,0.05737
122,0.02463
124,0.04605
126,0.02572
128,0.03546
129,0.05772
130,0.06042
131,0.05210
132,0.05427
133,0.02095
134,0.06082
135,0.05026
136,0.02520
139,0.03524
140,0.03234
141,0.03964
146,0.02423
148,0.04471
151,0.02285
152,0.05271
154,0.02694
157,0.03614
158,0.02354
159,0.05087
161,0.03540
164,0.05306
165,0.05162
167,0.02920
168,0.04018
169,0.03386
171,0.02594
172,0.05916
173,0.03272
174,0.03689
175,0.04955
176,0.05114
178,0.03419
179,0.02890
180,0.02348
181,0.02471
182,0.03721
183,0.05554
184,0.04926
185,0.04383
187,0.02277
188,0.03315
190,0.02840
191,0.03321
192,0.06118
195,0.03629
196,0.03475
198,0.04537
201,0.02894
202,0.02177
203,0.02593
204,0.02770
207,0.03414
213,0.05215
219,0.02606
220,0.04087
222,0.04710
226,0.03462
228,0.05972
230,0.04257
231,0.02604
232,0.03798
233,0.04807
234,0.02417
236,0.04494
237,0.03830
238,0.04124
240,0.03268
241,0.02345
242,0.03905
243,0.05521
245,0.03830
246,0.06516
247,0.03189
249,0.08269
250,0.03951
251,0.02306
252,0.03023
253,0.03398
254,0.05692
255,0.07332
256,0.04134
257,0.03250
258,0.04335
259,0.04964
260,0.02859
262,0.02532
267,0.03303
268,0.02793
270,0.02867
272,0.03514
273,0.02425
274,0.04324
275,0.05780
276,0.02968
277,0.03969
278,0.03566
279,0.05009
281,0.05123
282,0.03051
283,0.04470
287,0.05230
288,0.04447
289,0.04198
290,0.04044
291,0.02907
292,0.07926
293,0.03634
294,0.02789
295,0.02169
296,0.06585
297,0.03571
298,0.03906
299,0.04043
300,0.05488
303,0.04131
304,0.04893
308,0.02053
314,0.08766
315,0.04414
317,0.03264
318,0.07567
320,0.08252
322,0.03518
323,0.03324
327,0.04356
329,0.03963
331,0.03653
332,0.07430
333,0.03983
334,0.02647
335,0.03492
336,0.05793
337,0.04143
341,0.05901
343,0.03064
345,0.05373
347,0.03742
348,0.02073
349,0.02694
352,0.03756
353,0.02161
354,0.05740
355,0.03207
356,0.05830
357,0.03218
358,0.03249
359,0.03308
361,0.04469
362,0.04133
365,0.04402
366,0.06215
368,0.04615
369,0.02993
371,0.02537
373,0.04065
376,0.05853
377,0.03628
379,0.05274
381,0.03085
382,0.04222
383,0.02884
384,0.03320
385,0.04821
386,0.04422
387,0.03447
388,0.07484
390,0.03929
391,0.03748
392,0.05228
393,0.04336
394,0.03262
396,0.03944
400,0.03751
402,0.07955
403,0.03768
405,0.02996
407,0.05801
409,0.05582
