id,target
0,0.04408
1,0.04556
2,0.03116
3,0.02514
4,0.01215
5,0.02355
6,0.04953
8,0.01323
10,0.07647
11,0.01306
12,0.01310
14,0.01844
15,0.09975
18,0.01834
21,0.03412
23,0.02077
24,0.03544
25,0.02842
27,0.03919
29,0.04696
30,0.04533
31,0.04759
32,0.06059
33,0.01344
37,0.03055
38,0.02169
39,0.13939
40,0.03193
41,0.03913
42,0.02129
44,0.01998
45,0.01190
47,0.03775
49,0.01301
51,0.02872
52,0.02094
53,0.04359
54,0.03782
55,0.03325
56,0.02787
57,0.08519
59,0.02342
60,0.03478
62,0.03982
63,0.08332
67,0.06892
68,0.01286
69,0.05969
70,0.04163
71,0.06243
73,0.02088
75,0.01888
76,0.01966
81,0.05111
82,0.03323
83,0.01029
86,0.05928
87,0.05680
88,0.02763
91,0.05047
92,0.02799
94,0.02764
97,0.00641
100,0.01522
102,0.04866
103,0.05098
105,0.03160
106,0.06458
108,0.06332
113,0.04453
114,0.04852
115,0.01471
118,0.06138
122,0.02182
124,0.04416
126,0.04170
128,0.06456
129,0.04724
130,0.03201
131,0.05000
132,0.09793
133,0.01477
134,0.07180
135,0.05450
136,0.03860
139,0.05669
140,0.02126
141,0.09506
146,0.02212
148,0.02804
151,0.01918
152,0.07080
154,0.02441
157,0.02176
158,0.04598
159,0.04949
161,0.03111
164,0.02505
165,0.06549
167,0.02915
168,0.04250
169,0.04791
171,0.03838
172,0.04095
173,0.01184
174,0.03982
175,0.04611
176,0.05091
178,0.02295
179,0.01333
180,0.01335
181,0.02638
182,0.05907
183,0.05330
184,0.05387
185,0.03517
187,0.02610
188,0.00506
190,0.02984
191,0.06646
192,0.03740
195,0.04274
196,0.04695
198,0.08684
201,0.04378
202,0.02496
203,0.02448
204,0.02615
207,0.01647
213,0.04473
219,0.01625
220,0.02882
222,0.04711
226,0.02071
228,0.02043
230,0.04102
231,0.03816
232,0.04148
233,0.05348
234,0.02723
236,0.07440
237,0.02447
238,0.07967
240,0.01731
241,0.01157
242,0.02405
243,0.03868
245,0.02932
246,0.04744
247,0.00799
249,0.08796
250,0.04267
251,0.01883
252,0.01458
253,0.02204
254,0.03798
255,0.06082
256,0.04788
257,0.01802
258,0.01496
259,0.08037
260,0.02525
262,0.03971
267,0.02669
268,0.02080
270,0.01235
272,0.02927
273,0.00953
274,0.03759
275,0.05546
276,0.01616
277,0.03196
278,0.03947
279,0.02115
281,0.01664
282,0.04673
283,0.03846
287,0.02419
288,0.03977
289,0.06834
290,0.05883
291,0.02139
292,0.04920
293,0.02227
294,0.07383
295,0.04030
296,0.11559
297,0.04420
298,0.03113
299,0.01739
300,0.05402
303,0.03629
304,0.02808
308,0.02408
314,0.04073
315,0.01548
317,0.05086
318,0.02650
320,0.06705
322,0.05889
323,0.04641
327,0.03283
329,0.03575
331,0.01365
332,0.02627
333,0.04961
334,0.02471
335,0.01282
336,0.04033
337,0.04000
341,0.07493
343,0.02845
345,0.02615
347,0.02910
348,0.02831
349,0.02915
352,0.03859
353,0.01032
354,0.04365
355,0.03134
356,0.03537
357,0.03059
358,0.02843
359,0.02963
361,0.02212
362,0.03990
365,0.04513
366,0.02947
368,0.04563
369,0.01077
371,0.01354
373,0.01769
376,0.06040
377,0.01049
379,0.02473
381,0.04685
382,0.04645
383,0.03298
384,0.04053
385,0.04061
386,0.01262
387,0.03434
388,0.07923
390,0.03897
391,0.03401
392,0.08292
393,0.03454
394,0.01897
396,0.03576
400,0.03251
402,0.06726
403,0.01459
405,0.03486
407,0.04616
409,0.04027
411,0.01607
412,0.01116
414,0.05727
415,0.02946
416,0.01539
418,0.02395
419,0.04318
421,0.02407
422,0.09439
423,0.04519
424,0.07554
426,0.01597
427,0.03332
428,0.05037
436,0.05642
438,0.01630
442,0.02947
443,0.04177
445,0.03958
446,0.06664
447,0.03622
450,0.02689
452,0.02619
453,0.03579
455,0.04593
458,0.09387
459,0.00415
461,0.04201
463,0.01694
467,0.07988
470,0.05029
471,0.03387
472,0.03141
476,0.02709
477,0.02055
481,0.02925
482,0.08437
483,0.06823
485,0.01839
487,0.02591
488,0.02681
490,0.02023
492,0.04669
494,0.03301
497,0.05005
499,0.03480
500,0.04496
501,0.02257
503,0.04060
505,0.03652
506,0.04208
507,0.04582
509,0.05395
510,0.04343
511,0.03302
512,0.02020
514,0.03100
515,0.04442
516,0.01489
517,0.03485
519,0.06126
520,0.01884
521,0.01634
522,0.06891
523,0.02317
527,0.06278
530,0.04501
532,0.01893
534,0.02445
536,0.04085
539,0.02555
543,0.01237
547,0.05922
550,0.04844
551,0.05214
552,0.03168
553,0.03595
555,0.03352
556,0.01131
557,0.02724
558,0.05112
559,0.01717
560,0.01598
561,0.04131
565,0.04522
566,0.02372
567,0.05123
571,0.05597
572,0.02082
574,0.02750
575,0.02156
576,0.06103
577,0.02197
578,0.03538
579,0.06298
581,0.02190
587,0.01321
589,0.04701
590,0.06598
591,0.02596
592,0.03482
593,0.03029
594,0.08359
595,0.05945
596,0.01624
597,0.05441
598,0.08786
600,0.02001
602,0.01749
605,0.02292
606,0.03603
607,0.05455
612,0.00933
613,0.04597
614,0.01821
615,0.03747
616,0.04575
617,0.03010
